year,quarter,week_ending,hscp,simd_quintile,number_attendances,average20182019,percent_variation
2020,1,2020-01-12,S37000013,5,117,87.5,33.7
2020,1,2020-01-12,S37000016,1,125,109.5,14.2
2020,1,2020-01-12,S37000016,2,183,182.5,0.3
2020,1,2020-01-12,S37000016,3,250,223.5,11.9
2020,1,2020-01-12,S37000016,4,265,226.5,17
2020,1,2020-01-12,S37000016,5,82,77,6.5
2020,1,2020-01-12,S37000017,1,308,279.5,10.2
2020,1,2020-01-12,S37000017,2,82,75.5,8.6
2020,1,2020-01-12,S37000017,3,104,64.5,61.2
2020,1,2020-01-12,S37000017,4,81,69,17.4
2020,1,2020-01-12,S37000017,5,44,33,33.3
2020,1,2020-01-12,S37000018,1,59,64,-7.8
2020,1,2020-01-12,S37000018,2,187,207,-9.7
2020,1,2020-01-12,S37000018,3,117,122.5,-4.5
2020,1,2020-01-12,S37000018,4,73,65,12.3
2020,1,2020-01-12,S37000018,5,53,52,1.9
2020,1,2020-01-12,S37000019,1,7,7.5,-6.7
2020,1,2020-01-12,S37000019,2,99,73.5,34.7
2020,1,2020-01-12,S37000019,3,139,120,15.8
2020,1,2020-01-12,S37000019,4,153,131.5,16.3
2020,1,2020-01-12,S37000019,5,70,66,6.1
2020,1,2020-01-12,S37000020,1,367,343,7
2020,1,2020-01-12,S37000020,2,136,157,-13.4
2020,1,2020-01-12,S37000020,3,65,68,-4.4
2020,1,2020-01-12,S37000020,4,74,78,-5.1
2020,1,2020-01-12,S37000020,5,48,47.5,1.1
2020,1,2020-01-12,S37000022,2,24,17.5,37.1
2020,1,2020-01-12,S37000022,3,41,28,46.4
2020,1,2020-01-12,S37000022,4,60,40,50
2020,1,2020-01-12,S37000022,5,12,6.5,84.6
2020,1,2020-01-12,S37000024,1,442,403.5,9.5
2020,1,2020-01-12,S37000024,2,220,220.5,-0.2
2020,1,2020-01-12,S37000024,3,183,186,-1.6
2020,1,2020-01-12,S37000024,4,153,154,-0.6
2020,1,2020-01-12,S37000024,5,153,136,12.5
2020,1,2020-01-12,S37000025,1,36,34.5,4.3
2020,1,2020-01-12,S37000025,2,107,113.5,-5.7
2020,1,2020-01-12,S37000025,3,186,196,-5.1
2020,1,2020-01-12,S37000025,4,173,193,-10.4
2020,1,2020-01-12,S37000025,5,40,41,-2.4
2020,1,2020-01-12,S37000026,2,6,6.5,-7.7
2020,1,2020-01-12,S37000026,3,36,41.5,-13.3
2020,1,2020-01-12,S37000026,4,80,83,-3.6
2020,1,2020-01-12,S37000027,1,162,157.5,2.9
2020,1,2020-01-12,S37000027,2,155,170.5,-9.1
2020,1,2020-01-12,S37000027,3,150,124.5,20.5
2020,1,2020-01-12,S37000027,4,65,74,-12.2
2020,1,2020-01-12,S37000027,5,96,99,-3
2020,1,2020-01-12,S37000028,1,489,450,8.7
2020,1,2020-01-12,S37000028,2,587,532,10.3
2020,1,2020-01-12,S37000028,3,356,363,-1.9
2020,1,2020-01-12,S37000028,4,287,297.5,-3.5
2020,1,2020-01-12,S37000028,5,213,201,6
2020,1,2020-01-12,S37000029,1,192,166.5,15.3
2020,1,2020-01-12,S37000029,2,84,102,-17.6
2020,1,2020-01-12,S37000029,3,40,42,-4.8
2020,1,2020-01-12,S37000029,4,29,31,-6.5
2020,1,2020-01-12,S37000029,5,7,11.5,-39.1
2020,1,2020-01-12,S37000030,1,194,222.5,-12.8
2020,1,2020-01-12,S37000030,2,320,324,-1.2
2020,1,2020-01-12,S37000030,3,226,201,12.4
2020,1,2020-01-12,S37000030,4,146,136.5,7
2020,1,2020-01-12,S37000030,5,130,118,10.2
2020,1,2020-01-12,S37000031,2,36,34.5,4.3
2020,1,2020-01-12,S37000031,3,90,74.5,20.8
2020,1,2020-01-12,S37000031,4,5,8,-37.5
2020,1,2020-01-12,S37000032,1,382,383,-0.3
2020,1,2020-01-12,S37000032,2,322,294.5,9.3
2020,1,2020-01-12,S37000032,3,254,250.5,1.4
2020,1,2020-01-12,S37000032,4,142,167.5,-15.2
2020,1,2020-01-12,S37000032,5,164,166,-1.2
2020,1,2020-01-12,S37000033,1,61,52,17.3
2020,1,2020-01-12,S37000033,2,83,79,5.1
2020,1,2020-01-12,S37000033,3,100,116,-13.8
2020,1,2020-01-12,S37000033,4,198,166.5,18.9
2020,1,2020-01-12,S37000033,5,73,75.5,-3.3
2020,1,2020-01-12,S37000034,1,1858,1946.5,-4.5
2020,1,2020-01-12,S37000034,2,571,490.5,16.4
2020,1,2020-01-12,S37000034,3,312,347,-10.1
2020,1,2020-01-12,S37000034,4,225,220,2.3
2020,1,2020-01-12,S37000034,5,182,199.5,-8.8
2020,1,2020-01-12,S37000035,1,928,851.5,9
2020,1,2020-01-12,S37000035,2,697,659,5.8
2020,1,2020-01-12,S37000035,3,344,370.5,-7.2
2020,1,2020-01-12,S37000035,4,241,212,13.7
2020,1,2020-01-12,S37000035,5,136,124,9.7
2020,1,2020-01-19,S37000001,1,114,108.5,5.1
2020,1,2020-01-19,S37000001,2,201,226,-11.1
2020,1,2020-01-19,S37000001,3,143,135.5,5.5
2020,1,2020-01-19,S37000001,4,126,127.5,-1.2
2020,1,2020-01-19,S37000001,5,268,248,8.1
2020,1,2020-01-19,S37000002,1,10,11.5,-13
2020,1,2020-01-19,S37000002,2,42,37.5,12
2020,1,2020-01-19,S37000002,3,96,85,12.9
2020,1,2020-01-19,S37000002,4,193,182,6
2020,1,2020-01-19,S37000002,5,188,157,19.7
2020,1,2020-01-19,S37000003,1,14,13.5,3.7
2020,1,2020-01-19,S37000003,2,36,30,20
2020,1,2020-01-19,S37000003,3,65,50.5,28.7
2020,1,2020-01-19,S37000003,4,50,50.5,-1
2020,1,2020-01-19,S37000003,5,36,38.5,-6.5
2020,1,2020-01-19,S37000004,1,13,19,-31.6
2020,1,2020-01-19,S37000004,2,37,40,-7.5
2020,1,2020-01-19,S37000004,3,92,97,-5.2
2020,1,2020-01-19,S37000004,4,58,58,0
2020,1,2020-01-19,S37000004,5,17,11,54.5
2020,1,2020-01-19,S37000005,1,100,106.5,-6.1
2020,1,2020-01-19,S37000005,2,87,99,-12.1
2020,1,2020-01-19,S37000005,3,75,77.5,-3.2
2020,1,2020-01-19,S37000005,4,82,67,22.4
2020,1,2020-01-19,S37000005,5,68,57.5,18.3
2020,1,2020-01-19,S37000006,1,114,125.5,-9.2
2020,1,2020-01-19,S37000006,2,258,277.5,-7
2020,1,2020-01-19,S37000006,3,236,238,-0.8
2020,1,2020-01-19,S37000006,4,132,101,30.7
2020,1,2020-01-19,S37000006,5,49,60.5,-19
2020,1,2020-01-19,S37000007,1,232,226.5,2.4
2020,1,2020-01-19,S37000007,2,110,110,0
2020,1,2020-01-19,S37000007,3,54,50.5,6.9
2020,1,2020-01-19,S37000007,4,71,73,-2.7
2020,1,2020-01-19,S37000007,5,78,70.5,10.6
2020,1,2020-01-19,S37000008,1,237,254.5,-6.9
2020,1,2020-01-19,S37000008,2,182,169,7.7
2020,1,2020-01-19,S37000008,3,77,91,-15.4
2020,1,2020-01-19,S37000008,4,64,70.5,-9.2
2020,1,2020-01-19,S37000008,5,50,48.5,3.1
2020,1,2020-01-19,S37000009,1,32,25,28
2020,1,2020-01-19,S37000009,2,76,66,15.2
2020,1,2020-01-19,S37000009,3,22,28,-21.4
2020,1,2020-01-19,S37000009,4,54,68,-20.6
2020,1,2020-01-19,S37000009,5,178,153,16.3
2020,1,2020-01-19,S37000010,1,21,18,16.7
2020,1,2020-01-19,S37000010,2,153,144,6.2
2020,1,2020-01-19,S37000010,3,91,99,-8.1
2020,1,2020-01-19,S37000010,4,117,114,2.6
2020,1,2020-01-19,S37000010,5,41,58,-29.3
2020,1,2020-01-19,S37000011,1,52,44,18.2
2020,1,2020-01-19,S37000011,2,43,42.5,1.2
2020,1,2020-01-19,S37000011,3,47,50.5,-6.9
2020,1,2020-01-19,S37000011,4,66,60.5,9.1
2020,1,2020-01-19,S37000011,5,193,152,27
2020,1,2020-01-19,S37000012,1,484,465,4.1
2020,1,2020-01-19,S37000012,2,345,344.5,0.1
2020,1,2020-01-19,S37000012,3,245,287,-14.6
2020,1,2020-01-19,S37000012,4,311,314,-1
2020,1,2020-01-19,S37000012,5,564,576,-2.1
2020,1,2020-01-19,S37000013,1,153,147,4.1
2020,1,2020-01-19,S37000013,2,241,209.5,15
2020,1,2020-01-19,S37000013,3,116,112,3.6
2020,1,2020-01-19,S37000013,4,116,97.5,19
2020,1,2020-01-19,S37000013,5,106,102.5,3.4
2020,1,2020-01-19,S37000016,1,108,104,3.8
2020,1,2020-01-19,S37000016,2,189,194.5,-2.8
2020,1,2020-01-19,S37000016,3,231,224,3.1
2020,1,2020-01-19,S37000016,4,253,244.5,3.5
2020,1,2020-01-19,S37000016,5,74,81.5,-9.2
2020,1,2020-01-19,S37000017,1,277,283,-2.1
2020,1,2020-01-19,S37000017,2,72,74.5,-3.4
2020,1,2020-01-19,S37000017,3,88,71.5,23.1
2020,1,2020-01-19,S37000017,4,79,72.5,9
2020,1,2020-01-19,S37000017,5,47,49,-4.1
2020,1,2020-01-19,S37000018,1,80,68,17.6
2020,1,2020-01-19,S37000018,2,212,192,10.4
2020,1,2020-01-19,S37000018,3,125,105,19
2020,1,2020-01-19,S37000018,4,56,57,-1.8
2020,1,2020-01-19,S37000018,5,71,67.5,5.2
2020,1,2020-01-19,S37000019,1,7,6,16.7
2020,1,2020-01-19,S37000019,2,109,80.5,35.4
2020,1,2020-01-19,S37000019,3,131,117.5,11.5
2020,1,2020-01-19,S37000019,4,179,153,17
2020,1,2020-01-19,S37000019,5,81,62,30.6
2020,1,2020-01-19,S37000020,1,346,369,-6.2
2020,1,2020-01-19,S37000020,2,158,166.5,-5.1
2020,1,2020-01-19,S37000020,3,76,74.5,2
2020,1,2020-01-19,S37000020,4,93,95.5,-2.6
2020,1,2020-01-19,S37000020,5,47,44,6.8
2020,1,2020-01-19,S37000022,2,21,19,10.5
2020,1,2020-01-19,S37000022,3,31,33.5,-7.5
2020,1,2020-01-19,S37000022,4,73,43.5,67.8
2020,1,2020-01-19,S37000022,5,7,10.5,-33.3
2020,1,2020-01-19,S37000024,1,431,413,4.4
2020,1,2020-01-19,S37000024,2,219,212.5,3.1
2020,1,2020-01-19,S37000024,3,200,168.5,18.7
2020,1,2020-01-19,S37000024,4,158,140.5,12.5
2020,1,2020-01-19,S37000024,5,147,125,17.6
2020,1,2020-01-19,S37000025,1,48,39.5,21.5
2020,1,2020-01-19,S37000025,2,102,94.5,7.9
2020,1,2020-01-19,S37000025,3,177,176.5,0.3
2020,1,2020-01-19,S37000025,4,222,167.5,32.5
2020,1,2020-01-19,S37000025,5,35,39.5,-11.4
2020,1,2020-01-19,S37000026,2,6,5.5,9.1
2020,1,2020-01-19,S37000026,3,36,46.5,-22.6
2020,1,2020-01-19,S37000026,4,75,85,-11.8
2020,1,2020-01-19,S37000027,1,149,144.5,3.1
2020,1,2020-01-19,S37000027,2,170,158,7.6
2020,1,2020-01-19,S37000027,3,118,120,-1.7
2020,1,2020-01-19,S37000027,4,79,63.5,24.4
2020,1,2020-01-19,S37000027,5,110,83.5,31.7
2020,1,2020-01-19,S37000028,1,464,446,4
2020,1,2020-01-19,S37000028,2,553,551,0.4
2020,1,2020-01-19,S37000028,3,388,330.5,17.4
2020,1,2020-01-19,S37000028,4,308,287.5,7.1
2020,1,2020-01-19,S37000028,5,185,196.5,-5.9
2020,1,2020-01-19,S37000029,1,171,166.5,2.7
2020,1,2020-01-19,S37000029,2,96,89.5,7.3
2020,1,2020-01-19,S37000029,3,45,48,-6.2
2020,1,2020-01-19,S37000029,4,28,28.5,-1.8
2020,1,2020-01-19,S37000029,5,10,9.5,5.3
2020,1,2020-01-19,S37000030,1,219,201,9
2020,1,2020-01-19,S37000030,2,337,281.5,19.7
2020,1,2020-01-19,S37000030,3,215,188,14.4
2020,1,2020-01-19,S37000030,4,138,133,3.8
2020,1,2020-01-19,S37000030,5,138,107.5,28.4
2020,1,2020-01-19,S37000031,2,21,29.5,-28.8
2020,1,2020-01-19,S37000031,3,70,69,1.4
2020,1,2020-01-19,S37000031,4,13,7,85.7
2020,1,2020-01-19,S37000032,1,419,404.5,3.6
2020,1,2020-01-19,S37000032,2,348,283.5,22.8
2020,1,2020-01-19,S37000032,3,236,240.5,-1.9
2020,1,2020-01-19,S37000032,4,180,163,10.4
2020,1,2020-01-19,S37000032,5,173,153,13.1
2020,1,2020-01-19,S37000033,1,34,45.5,-25.3
2020,1,2020-01-19,S37000033,2,73,76.5,-4.6
2020,1,2020-01-19,S37000033,3,105,94.5,11.1
2020,1,2020-01-19,S37000033,4,173,164.5,5.2
2020,1,2020-01-19,S37000033,5,89,66.5,33.8
2020,1,2020-01-19,S37000034,1,1989,1869.5,6.4
2020,1,2020-01-19,S37000034,2,529,515,2.7
2020,1,2020-01-19,S37000034,3,299,333.5,-10.3
2020,1,2020-01-19,S37000034,4,261,251.5,3.8
2020,1,2020-01-19,S37000034,5,181,201,-10
2020,1,2020-01-19,S37000035,1,859,866.5,-0.9
2020,1,2020-01-19,S37000035,2,606,577,5
2020,1,2020-01-19,S37000035,3,369,347.5,6.2
2020,1,2020-01-19,S37000035,4,215,193,11.4
2020,1,2020-01-19,S37000035,5,117,105,11.4
2020,1,2020-01-26,S37000001,1,100,100.5,-0.5
2020,1,2020-01-26,S37000001,2,240,239,0.4
2020,1,2020-01-26,S37000001,3,141,128,10.2
2020,1,2020-01-26,S37000001,4,138,137,0.7
2020,1,2020-01-26,S37000001,5,269,242.5,10.9
2020,1,2020-01-26,S37000002,1,10,8,25
2020,1,2020-01-26,S37000002,2,43,32,34.4
2020,1,2020-01-26,S37000002,3,81,86.5,-6.4
2020,1,2020-01-26,S37000002,4,191,181,5.5
2020,1,2020-01-26,S37000002,5,188,181,3.9
2020,1,2020-01-26,S37000003,1,24,17,41.2
2020,1,2020-01-26,S37000003,2,34,31,9.7
2020,1,2020-01-26,S37000003,3,73,59.5,22.7
2020,1,2020-01-26,S37000003,4,57,41.5,37.3
2020,1,2020-01-26,S37000003,5,31,31.5,-1.6
2020,1,2020-01-26,S37000004,1,28,21.5,30.2
2020,1,2020-01-26,S37000004,2,45,49.5,-9.1
2020,1,2020-01-26,S37000004,3,83,93.5,-11.2
2020,1,2020-01-26,S37000004,4,61,72.5,-15.9
2020,1,2020-01-26,S37000004,5,19,11,72.7
2020,1,2020-01-26,S37000005,1,119,123.5,-3.6
2020,1,2020-01-26,S37000005,2,98,109.5,-10.5
2020,1,2020-01-26,S37000005,3,69,66,4.5
2020,1,2020-01-26,S37000005,4,104,73,42.5
2020,1,2020-01-26,S37000005,5,73,73,0
2020,1,2020-01-26,S37000006,1,128,116.5,9.9
2020,1,2020-01-26,S37000006,2,287,249,15.3
2020,1,2020-01-26,S37000006,3,229,260,-11.9
2020,1,2020-01-26,S37000006,4,103,98.5,4.6
2020,1,2020-01-26,S37000006,5,54,47.5,13.7
2020,1,2020-01-26,S37000007,1,270,247.5,9.1
2020,1,2020-01-26,S37000007,2,104,117,-11.1
2020,1,2020-01-26,S37000007,3,63,56.5,11.5
2020,1,2020-01-26,S37000007,4,77,81,-4.9
2020,1,2020-01-26,S37000007,5,62,60,3.3
2020,1,2020-01-26,S37000008,1,286,271.5,5.3
2020,1,2020-01-26,S37000008,2,205,184.5,11.1
2020,1,2020-01-26,S37000008,3,93,101,-7.9
2020,1,2020-01-26,S37000008,4,90,85,5.9
2020,1,2020-01-26,S37000008,5,53,61.5,-13.8
2020,1,2020-01-26,S37000009,1,35,38,-7.9
2020,1,2020-01-26,S37000009,2,74,74,0
